EN         DATA       DATA-ERR
MEV        MB         MB
15.911     0.29       1.08
16.220     0.13       1.24
16.530     7.68       1.73
16.840     18.61      2.32
17.149     31.06      2.61
17.459     50.94      3.13
17.769     58.42      3.37
18.079     63.00      3.61
18.388     57.05      3.45
18.698     75.00      3.52
19.008     71.56      3.75
19.317     62.66      3.60
19.627     65.05      3.66
19.937     68.85      3.92
20.246     68.16      3.95
20.556     56.39      3.81
20.866     53.11      3.88
21.176     53.65      3.82
21.485     48.50      3.89
