EN         DATA       DATA-ERR
MEV        MB         MB
16.120     3.70       1.50
16.260     11.40      1.52
16.400     7.70       1.53
16.530     12.00      1.55
16.670     16.80      1.57
16.800     22.00      1.59
16.940     25.10      1.60
17.080     28.00      1.62
17.210     35.80      1.64
17.350     43.50      1.65
17.490     44.30      1.67
17.620     53.50      1.69
17.760     52.10      1.70
17.890     57.10      1.72
18.030     52.00      1.74
18.170     58.60      1.75
18.300     58.50      1.77
18.440     53.90      1.79
18.580     57.00      1.81
18.710     61.60      1.82
18.850     54.40      1.84
18.980     53.10      1.86
19.120     55.80      1.87
19.260     51.50      1.89
19.390     56.10      1.91
19.530     48.10      1.92
19.660     59.10      1.94
19.800     54.30      1.96
19.940     59.40      1.97
20.070     51.90      1.99
20.210     55.70      2.01
20.350     52.10      2.03
20.480     42.60      2.04
20.620     47.40      2.06
20.750     41.50      2.08
20.890     51.20      2.09
21.030     45.50      2.11
21.160     39.50      2.13
21.300     40.40      2.14
21.440     45.50      2.16
21.570     44.30      2.18
