EN         DATA       DATA-ERR
MEV        MB         MB
21.795     47.46      3.97
22.105     47.68      4.08
22.414     41.84      4.22
22.724     38.14      2.88
23.034     35.16      4.15
23.343     28.74      4.38
23.653     35.23      4.43
23.963     20.49      4.55
24.273     24.06      4.66
24.582     37.80      4.92
24.892     22.40      4.81
25.202     26.57      4.96
25.511     31.55      5.11
25.821     31.02      5.29
26.131     25.64      8.74
26.440     25.39      8.40
27.060     25.48      8.99
27.370     27.01      8.75
27.679     16.94      9.16
27.989     25.67      9.80
28.299     15.03      10.00
28.608     22.71      10.25
28.918     18.54      10.05
29.228     9.87       12.00
29.537     18.41      15.24
