EN         DATA       DATA-ERR
MEV        MB         MB
21.710     27.90      2.20
21.840     33.60      2.21
21.980     35.70      2.23
22.120     43.80      2.25
22.250     33.30      2.26
22.390     34.10      2.28
22.520     29.00      2.30
22.660     36.30      2.31
22.800     29.00      2.33
22.930     32.70      2.35
23.070     33.00      2.36
23.210     47.00      2.38
23.340     26.10      2.40
23.480     30.20      2.42
23.610     40.10      2.43
23.750     25.50      2.45
23.890     19.20      2.47
24.020     34.40      2.48
24.160     33.00      2.50
