EN         DATA       DATA-ERR
MEV        MB         MB
9.097      6.12       3.05
9.407      20.94      3.72
9.717      29.62      3.10
10.026     35.45      3.37
10.356     56.15      3.48
10.646     49.06      3.48
10.955     49.52      2.30
11.265     63.29      3.75
11.575     69.18      3.98
11.885     77.14      4.12 
12.194     93.02      4.41
12.504     107.96     4.76
12.814     130.25     5.25
13.123     148.74     5.67
13.433     173.73     6.16
13.743     226.80     7.04
14.052     233.28     6.66
14.362     252.64     6.54
14.672     280.23     6.58
14.982     292.72     6.50
