EN         DATA       DATA-ERR
MEV        MB         MB
9.180      23.50      2.00
9.310      39.30      2.01
9.450      31.20      2.02
9.590      44.10      2.03
9.720      44.80      2.04
9.860      40.70      2.05
9.990      49.40      2.05
10.130     50.90      2.06
10.270     53.10      2.07
10.400     47.20      2.08
10.540     49.70      2.09
10.680     52.70      2.10
10.810     61.10      2.11
10.950     60.20      2.12
11.080     59.20      2.13
11.220     64.00      2.14
11.360     65.70      2.15
11.490     80.50      2.15
11.630     82.50      2.16
11.770     88.80      2.17
11.900     91.30      2.18
12.040     93.90      2.19
12.170     114.10     2.20
12.310     101.80     2.21
12.450     116.60     2.22
12.580     130.80     2.23
12.720     128.60     2.24
12.850     138.00     2.25
12.990     158.60     2.25
13.130     170.00     2.26
13.260     182.70     2.27
13.400     198.90     2.28
13.540     209.10     2.29
13.670     216.00     2.30
13.810     241.40     2.31
13.940     252.40     2.32
14.080     257.20     2.33
14.220     273.60     2.34
14.350     298.10     2.35
14.490     305.70     2.35
14.630     291.00     2.36
14.760     305.10     2.37
14.900     313.40     2.38
