EN         DATA       DATA-ERR
MEV        MB         MB
15.291     296.18     6.38
15.601     272.19     6.35
15.911     259.71     4.80
16.220     243.83     6.46
16.530     216.40     6.26
16.840     184.90     6.78
17.149     171.56     6.62
17.459     127.62     6.84
17.769     95.16      7.01
18.079     74.37      7.24
18.388     70.61      7.07
18.698     34.91      6.70
19.008     40.64      7.18
19.317     36.41      7.03
19.627     17.22      7.04
19.937     4.73       7.40
20.246     13.20      7.50
20.556     16.21      7.40
20.866     11.58      7.54
21.176     3.31       7.41
21.485     9.39       7.57
21.795     8.73       7.65
22.105     15.44      7.81
22.414     20.75      8.15
22.724     19.44      5.58
23.034     21.10      8.08
23.343     28.16      8.63
23.653     11.45      8.55
23.963     23.89      9.00
24.273     22.71      9.12
24.582    -11.11      9.29
24.892     19.44      9.34
25.202     0.78       9.40
25.511    -9.95       9.54
25.821    -7.04       9.86
26.131    -4.24       11.48
26.440     20.27      11.16
27.060    -5.98       11.86
27.370     8.51       11.93
27.679     15.47      12.11
27.989    -6.28       12.95
28.299    -6.26       12.88
28.608    -13.45      13.81
28.918    -12.45      14.58
29.228    -2.61       17.70
29.537    -1.89       24.67
