EN         DATA       DATA-ERR
MEV        MB         MB
15.030     318.20     2.39
15.170     312.90     2.40
15.310     321.20     2.41
15.440     314.90     2.42
15.580     302.30     2.43
15.710     304.70     2.44
15.850     300.20     2.45
15.990     296.70     2.45
16.120     274.70     2.46
16.260     253.20     2.47
16.400     256.90     2.48
16.530     247.10     2.49
16.670     232.30     2.50
16.800     218.70     2.51
16.940     211.80     2.52
17.080     213.90     2.53
17.210     189.50     2.54
17.350     180.30     2.55
17.490     162.10     2.55
17.620     137.50     2.56
17.760     128.50     2.57
17.890     128.40     2.58
18.030     118.70     2.59
18.170     109.70     2.60
18.300     107.50     2.61
18.440     103.90     2.62
18.580     89.60      2.63
18.710     89.70      2.64
18.850     88.30      2.65
18.980     73.40      2.65
19.120     67.90      2.66
19.260     64.50      2.67
19.390     62.60      2.68
19.530     63.20      2.69
19.660     56.20      2.70
19.800     51.10      2.71
19.940     51.90      2.72
20.070     55.90      2.73
20.210     45.80      2.74
20.350     48.30      2.75
20.480     54.70      2.75
20.620     36.10      2.76
20.750     41.90      2.77
20.890     39.90      2.78
21.030     44.70      2.79
21.160     42.00      2.80
21.300     43.90      2.81
21.440     37.90      2.82
21.570     29.30      2.83
21.710     27.10      2.84
21.840     43.40      2.85
21.980     39.10      2.85
22.120     38.10      2.86
22.250     39.90      2.87
22.390     40.50      2.88
22.520     45.00      2.89
22.660     47.70      2.90
22.800     47.00      2.91
22.930     39.80      2.92
23.070     31.40      2.93
23.210     27.50      2.94
23.340     42.30      2.95
23.480     44.30      2.95
23.610     30.50      2.96
23.750     49.00      2.97
23.890     33.90      2.98
24.020     30.60      2.99
24.160     26.30      3.00
