EN         DATA       DATA-ERR
MEV        MB         MB
11.0       7.2        0.7
11.1       7.3        0.7
11.2       7.8        0.8
11.3       8.0        0.8
11.4       8.4        0.8
11.5       8.8        0.9
11.6       9.1        0.9
11.7       9.5        1.0
11.8       10.0       1.0
11.9       10.3       1.0
12.0       11.0       1.1
12.1       11.5       1.1
12.2       11.9       1.2
12.3       12.6       1.3
12.4       13.2       1.3
12.5       13.7       1.4
12.6       14.5       1.4
12.7       15.2       1.5
12.8       15.9       1.6
12.9       16.7       1.7
13.0       17.5       1.8
13.1       18.5       1.8
13.2       19.2       1.9
13.3       20.3       2.0
13.4       21.4       2.1
13.5       22.4       2.2
13.6       23.7       2.4
13.7       24.9       2.5
13.8       26.3       2.6
13.9       27.7       2.8
14.0       29.2       2.9
14.1       30.6       3.1
14.2       32.3       3.2
14.3       34.1       3.4
14.4       35.9       3.6
14.5       37.8       3.8
14.6       39.8       4.0
14.7       42.0       4.2
14.8       44.0       4.4
14.9       46.2       4.6
15.0       48.5       4.9
15.1       51.0       5.1
15.2       53.2       5.3
15.3       55.5       5.5
15.4       57.9       5.8
15.5       60.1       6.0
15.6       62.4       6.2
15.7       64.5       6.5
15.8       66.3       6.6
15.9       68.3       6.8
16.0       70.0       7.0
16.1       71.7       7.2
16.2       73.0       7.3
16.3       74.1       7.4
16.4       74.8       7.5
16.5       75.7       7.6
16.6       76.2       7.6
16.7       76.4       7.6
16.8       76.5       7.7
16.9       76.4       7.6
17.0       76.2       7.6
17.1       76.1       7.6
17.2       75.6       7.6
17.3       75.1       7.5
17.4       74.7       7.5
17.5       74.1       7.4
17.6       73.5       7.4
17.7       72.8       7.3
17.8       72.3       7.2
17.9       71.8       7.2
18.0       71.3       7.1
18.1       70.7       7.1
18.2       70.1       7.0
18.3       69.6       7.0
18.4       68.9       6.9
18.5       68.4       6.8
18.6       67.9       6.8
18.7       67.0       6.7
18.8       66.3       6.6
18.9       65.5       6.5
19.0       64.7       6.5
