EN         DATA
MEV        MB
15.0098    0.0010
15.1554    0.0013
15.2864    0.0016
15.4322    0.0020
15.5781    0.0027
15.6807    0.0034
15.8266    0.0044
15.9579    0.0056
16.0605    0.0071
16.1777    0.0092
16.2659    0.0116
16.3687    0.0149
16.4857    0.0189
16.5888    0.0252
16.6918    0.0332
16.7948    0.0438
16.9262    0.0561
17.1013    0.0777
17.2764    0.1077
17.4652    0.1391
17.6540    0.1798
17.8428    0.2324
18.0459    0.3003
18.2486    0.3730
18.4944    0.4678
18.7111    0.5640
18.9274    0.6471
19.2297    0.7496
19.4312    0.8268
19.7188    0.9207
20.0061    0.9952
20.3076    1.0651
20.6810    1.1623
21.1400    1.2307
21.4841    1.2533
21.8136    1.2513
22.1428    1.2129
22.4431    1.1527
22.7433    1.0740
22.9863    1.0109
23.2579    0.9514
23.5582    0.8953
23.8441    0.8426
24.1299    0.7851
24.4876    0.7459
24.7309    0.7233
24.9600    0.7154
