EN         DATA
MEV        MB
14.6893    13.5104
14.9297    18.0007
15.1529    23.7551
15.3761    30.4616
15.6333    37.9539
15.8564    48.2052
16.0623    58.9261
16.2852    72.0300
16.5424    88.8913
16.8337    106.5894
17.0735    124.1998
17.3476    146.1061
17.7243    170.2182
18.0666    190.8661
18.4599    202.0589
18.9044    201.9544
19.2972    186.9780
19.7412    165.0106
20.0996    140.1666
20.4067    121.3722
20.7480    103.1005
21.0210    90.1385
21.3282    80.3265
21.6184    72.2727
21.9258    65.6506
22.2672    57.9445
22.6599    51.1398
23.0354    44.2792
23.3939    39.4568
23.8207    34.1614
24.2305    30.1491
24.5550    27.3861
