EN         DATA       ERR-S      ERR-SYS
MEV        MB         MB         MB
8.08      16.55       9.48       0.73
8.09      12.83       2.59       0.56
8.25      27.47       0.52       1.21
8.42      34.51       0.47       1.52
8.60      35.55       0.38       1.56
8.75      38.31       1.90       1.69
8.88      41.33       0.42       1.82
8.94      43.23       0.38       1.90
9.01      44.83       0.49       1.97
9.10      45.23       1.81       1.99
9.10      47.62       0.44       2.10
9.15      48.34       0.58       2.13
9.22      51.01       0.59       2.24
9.36      51.09       0.99       2.25
9.42      57.39       1.59       2.52
9.53      65.75       1.10       2.89
9.64      60.14       1.78       2.65
9.81      69.57       1.08       3.06
10.01      70.20       1.21       3.09
10.35      90.31       1.85       3.97
10.55     104.74       1.47       4.61
10.97     155.06       2.06       6.82
11.38     201.49       2.24       8.87
11.75     253.32       2.60      11.15
11.89     266.40       1.79      11.72
12.11     309.49       2.14      13.62
12.42     368.63       2.10      16.22
12.68     419.92       2.37      18.48
12.88     457.10       2.58      20.11
13.14     506.72       2.75      22.30
