EN         EN-ERR     DATA       ERR-T      ERR-S      ERR-3      MISC       ERR-4      ERR-5
MEV        MEV        MB         PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT
9.3        0.5        54.3       6.7        1.6        0.5        1.6        4.5        1.2
9.7        0.7        60.9       6.0        1.7        0.6        1.7        3.4        0.4
9.8        0.5        59.7       6.5        1.3        0.5        1.3        4.4        0.4
10.0       0.5        74.9       7.3        2.7        0.5        2.7        4.2        1.0
10.2       0.5        81.2       6.0        1.6        0.5        1.2        3.9        3.3
10.5       0.6        104.9      7.4        1.2        0.6        1.6        5.8        0.3
10.6       0.5        104.8      5.6        1.4        0.5        1.2        3.3        1.0
10.8       0.5        128.0      5.8        1.2        0.5        1.4        3.5        0.5
11.1       0.5        173.2      5.6        1.4        0.5        1.2        3.4        0.6
11.7       0.6        260.3      5.7        1.4        0.6        1.4        3.4        0.1
12.0       0.6        337.4      6.1        1.4        0.6        1.4        4.1        0.3  
12.4       0.7        400.2      5.8        1.4        0.7        1.4        3.5        1.7
