EN         DATA       DATA-ERR
MEV        MB         MB
 10.0        95.8       9.6
 10.1       102.0      10.2
 10.2       108.7      10.9
 10.3       115.9      11.6
 10.4       123.6      12.4
 10.5       132.0      13.2
 10.6       141.0      14.1
 10.7       150.7      15.1
 10.8       161.1      16.1
 10.9       172.3      17.2
 11.0       184.3      18.4
 11.1       197.1      19.7
 11.2       210.9      21.1
 11.3       225.5      22.6
 11.4       241.0      24.1
 11.5       257.4      25.7
 11.6       274.7      27.5
 11.7       292.7      29.3
 11.8       311.3      31.1
 11.9       330.4      33.0
 12.0       349.8      35.0
 12.1       369.3      36.9
 12.2       388.5      38.9
 12.3       407.3      40.7
 12.4       425.3      42.5
 12.5       442.3      44.2
 12.6       458.0      45.8
 12.7       472.3      47.2
 12.8       485.0      48.5
 12.9       496.2      49.6
 13.0       505.8      50.6
 13.1       514.0      51.4
 13.2       520.7      52.1
 13.3       526.0      52.6
 13.4       529.6      53.0
 13.5       531.3      53.1
 13.6       530.4      53.0
 13.7       526.4      52.6
 13.8       518.6      51.9
 13.9       506.9      50.7
 14.0       491.1      49.1
 14.1       471.9      47.2
 14.2       450.0      45.0
 14.3       426.4      42.6
 14.4       402.1      40.2
 14.5       377.7      37.8
 14.6       354.1      35.4
 14.7       331.6      33.2
 14.8       310.4      31.0
 14.9       290.6      29.1
 15.0       272.3      27.2
 15.1       255.5      25.6
 15.2       240.0      24.0
 15.3       225.8      22.6
 15.4       212.8      21.3
 15.5       200.8      20.1
 15.6       189.8      19.0
 15.7       179.6      18.0
 15.8       170.2      17.0
 15.9       161.6      16.2
 16.0       153.6      15.4
 16.1       146.2      14.6
 16.2       139.3      13.9
 16.3       132.9      13.3
 16.4       127.0      12.7
 16.5       121.5      12.1
 16.6       116.3      11.6
 16.7       111.4      11.1
 16.8       106.9      10.7
 16.9       102.6      10.3
 17.0        98.6       9.9
 17.1        94.9       9.5
 17.2        91.3       9.1
 17.3        88.0       8.8
 17.4        84.9       8.5
 17.5        81.9       8.2
 17.6        79.1       7.9
 17.7        76.4       7.6
 17.8        73.9       7.4
 17.9        71.5       7.1
 18.0        69.2       6.9
 18.1        67.0       6.7
 18.2        65.0       6.5
 18.3        63.0       6.3
 18.4        61.2       6.1
 18.5        59.4       5.9
 18.6        57.7       5.8
 18.7        56.0       5.6
 18.8        54.5       5.4
 18.9        53.0       5.3
 19.0        51.6       5.2
 19.1        50.2       5.0
 19.2        48.9       4.9
 19.3        47.7       4.8
 19.4        46.5       4.6
 19.5        45.3       4.5
 19.6        44.2       4.4
 19.7        43.1       4.3
 19.8        42.1       4.2
 19.9        41.1       4.1
 20.0        40.2       4.0
