EN         DATA       DATA-ERR
MEV        MB         MB
  10.9       17.79       7.42
  11.        37.12       8.00
  11.1       35.06       8.92
  11.2       46.02       8.91
  11.3       56.45       7.44
  11.4       60.86       8.50
  11.5       43.06       7.28
  11.6       63.82       6.66
  11.7       54.25       8.37
  11.8       75.78      10.38
  11.9       71.08       8.70
  12.        62.38       7.15
  12.1       82.49       8.65
  12.2       81.64       8.89
  12.3       74.23       7.39
  12.4       89.19       8.57
  12.5       89.12       8.88
  12.6       75.73       8.78
  12.7      112.48      10.38
  12.8      101.00       9.29
  12.9      120.00      11.59
  13.       114.35      11.00
  13.1      112.04      12.18
  13.2      145.49      10.53
  13.3      130.69      11.68
  13.4      147.00      13.38
  13.5      139.64      12.49
  13.6      172.26      11.83
  13.7      165.46      12.17
  13.8      148.66      12.73
  13.9      176.74      11.67
  14.       201.89      13.19
  14.1      200.00      11.74
  14.2      185.61      13.35
  14.3      200.04      14.07
  14.4      210.87      15.41
  14.5      201.00      14.85
  14.6      197.40      16.69
  14.7      201.00      16.34
  14.8      265.73      23.00
  14.9      249.52      17.62
  15.       250.93      18.87
  15.1      265.79      16.35
  15.2      249.00      13.37
  15.3      265.84      16.37
  15.4      229.82      20.78
  15.5      268.83      19.14
  15.6      268.00      19.24
  15.7      264.31      17.87
  15.8      267.35      18.43
  15.9      295.94      19.28
  16.       289.00      19.62
  16.1      234.65      16.43
  16.2      249.51      15.48
  16.3      233.18      17.82
  16.4      251.14      15.25
  16.5      240.00      16.48
  16.6      240.10      18.58
  16.7      183.00      17.82
  16.8      207.29      19.30
  16.9      213.86      19.81
  17.       188.62      18.61
  17.1      184.89      18.00
  17.2      210.92      20.08
  17.3      191.49      17.69
  17.4      178.26      21.24
  17.5      220.19      20.63
  17.6      162.00      24.32
  17.7      193.08      21.35
  17.8      198.00      24.31
  17.9      157.21      31.32
  18.       141.83      25.25
  18.1      206.43      28.16
  18.2      161.86      26.72
  18.3      170.77      28.23
  18.4      188.61      26.72
  18.5      160.33      25.54
  18.6      163.38      23.73
  18.7      181.05      31.18
  18.8      141.00      28.24
  18.9      170.73      31.23
  19.       164.85      19.35
  19.1      121.62      16.42
  19.2      167.17      20.00
  19.3      108.76      19.35
  19.4      156.00      19.32
  19.5       99.00      19.90
  19.6      117.36      19.45
  19.7       68.34      22.29
  19.8       22.12	0
  19.9       44.52	0
  20.        69.82	0
  20.1       62.49	0
  20.2       24.86	0
  20.3       26.76	0
  20.4       43.26	0
  20.5       51.54	0
  20.6       88.21	0
  20.7       22.18	0
  20.8       47.35	0
  20.9       49.08	0
  21.       -21.27	0
  21.1       37.75	0
  21.2       19.84	0
  21.3       -9.81	0
  21.4       60.77	0
  21.5      -24.24	0
  21.6       -3.43	0
  21.7       -6.18	0
  21.8       32.55	0
  21.9       -2.31	0
  22.        28.22	0
  22.1       -0.16	0
  22.2      -20.73	0
  22.3       48.83	0
  22.4       81.68	0
  22.5       -6.63	0
  22.6        6.97	0
  22.7       48.61	0
  22.8         .50	0
  22.9       12.67	0
  23.        63.43	0
  23.1       55.87	0
  23.2       13.37	0
  23.3       44.54	0
  23.4         .56	0
  23.5       69.48	0
  23.6      -10.03	0
  23.7        3.00	0
  23.8       26.83	0
  23.9       38.99	0
  24.        28.42	0
  24.1       19.92	0
  24.2      -13.69	0
  24.3      -48.41	0
  24.4       10.63	0
  24.5        8.89	0
  24.6      -39.63	0
  24.7       27.06	0
  24.8      -41.56	0
  24.9       30.86	0
  25.        -9.62	0
  25.1       -9.25	0
  25.2       29.67	0
  25.3       23.45	0
  25.4       -3.18	0
  25.5      -11.90	0
  25.6       20.35	0
  25.7        1.00	0
  25.8        9.39	0
  25.9        5.61	0
  26.       -17.96	0
  26.1       -2.88	0
  26.2       41.91	0
  26.3       12.78	0
  26.4      -21.73	0
  26.5       11.87	0
  26.6      -58.00	0
  26.7      -50.53	0
  26.8       -5.91	0
  26.9      -32.76	0
  27.       -13.20	0
