EN         DATA       DATA-ERR
MEV        MB         MB
  16.2       0.7       0.7
  16.4       3.5       1.4
  16.6      14.0       1.6
  16.8      23.0       1.7
  17.0      31.4       1.8
  17.2      44.7       1.8
  17.4      57.9       2.6
  17.6      62.8       2.8
  17.8      69.1       2.8
  18.0      69.8       2.7
  18.2      73.3       4.0
  18.4      71.9       4.8
  18.6      60.0       3.1
  18.8      69.8       2.8
  19.0      64.2       3.0
  19.2      62.8       2.6
  19.4      57.2       3.8
  19.6      57.9       3.5
  19.8      50.9       3.5
  20.0      59.3       3.0
  20.2      52.3       4.2
  20.4      39.1       3.5
  20.6      41.9       2.8
  20.8      37.0       2.5
  21.0      34.9       2.5
  21.2      29.3       2.0
  21.4      27.9       2.0
  21.6      26.5       2.0
  21.8      24.4       2.0
  22.0      22.3       2.0
  22.2      20.9       2.0
  22.4      20.9       2.0
