EN         DATA       DATA-ERR
MEV        MB         MB
   8.890        1.20       8.00
   9.160        9.10       8.08
   9.440       21.10       8.17
   9.710       21.70       8.25
   9.980       30.00       8.33
  10.250       38.90       8.42
  10.520       45.40       8.50
  10.800       46.50       8.59
  11.070       56.80       8.67
  11.340       69.00       8.75
  11.610       76.00       8.83
  11.880       90.30       8.92
  12.160      104.20       9.00
  12.430      129.30       9.08
  12.700      148.80       9.17
  12.970      169.40       9.25
  13.240      200.40       9.33
  13.520      220.30       9.42
  13.790      250.00       9.50
  14.060      272.10       9.58
  14.330      296.30       9.67
  14.600      300.70       9.75
  14.880      309.10       9.83
  15.150      301.40       9.92
