EN         DATA       DATA-ERR
MEV        MB         MB
   8.788        -.06        .28
   9.097        1.14        .30
   9.175        5.89       1.71
   9.252        7.60        .55
   9.330        6.78       3.45
   9.407       14.74        .66
   9.484       17.13        .92
   9.562       18.63       1.09
   9.639       21.39       1.04
   9.717       22.40       1.94
   9.794       21.22        .76
   9.872       23.83       1.14
   9.949       25.21       1.18
  10.026       23.38       1.12
  10.104       24.17       1.19
  10.181       26.74       1.25
  10.336       27.55       1.33
  10.646       36.21       1.60
  10.955       40.24       1.73
  11.265       48.02       1.92
  11.575       56.68       1.69
  11.885       66.24       1.88
  12.194       72.82       2.02
  12.504       92.22       2.38
  12.814      114.10       2.71
  13.123      130.49       3.01
  13.433      151.27       3.29
  13.743      181.70       3.74
  14.053      194.21       4.80
  14.362      216.61       5.96
  14.672      204.43       6.12
  14.982      221.78       6.32
  15.291      212.82       7.09
