EN         DATA       DATA-ERR
MEV        MB         MB
  15.420      300.50      10.00
  15.690      285.30      10.08
  15.960      281.00      10.15
  16.240      258.60      10.23
  16.510      236.00      10.31
  16.780      209.40      10.39
  17.050      188.70      10.46
  17.320      170.00      10.54
  17.600      133.70      10.62
  17.870      110.20      10.69
  18.140       88.80      10.77
  18.410       78.70      10.85
  18.680       60.00      10.92
  18.960       49.60      11.00
  19.230       40.50      11.08
  19.500       39.50      11.15
  19.770       30.50      11.23
  20.040       30.30      11.31
  20.320       20.80      11.39
  20.590       14.50      11.46
  20.860       13.40      11.54
  21.130       13.60      11.62
  21.400       10.30      11.69
  21.680        9.10      11.77
  21.950        3.70      11.85
  22.220        4.00      11.92
  22.490        0.80      12.00
