EN         DATA       DATA-ERR
MEV        MB         MB
  15.601      225.55       7.36
  15.911      217.32       7.85
  16.220      191.35       4.70
  16.375      188.27       6.67
  16.530      196.94       7.00
  16.608      180.21       7.12
  16.685      173.43       5.08
  16.762      155.15       7.25
  16.840      164.05       7.53
  16.917      152.44       7.72
  16.995      149.56       7.64
  17.072      142.37       7.80
  17.150      128.65       5.72
  17.459      105.03       8.44
  17.769       72.04       8.68
  18.079       78.61       9.24
  18.388       44.04       9.51
  18.698       42.23       9.54
  19.008       24.84       6.89
  19.317       18.47       9.53
  19.627       32.96      10.68
  19.937       17.93      10.86
  20.247       19.54      11.16
  20.556       11.64       7.46
  20.866       -9.16      10.28
  21.176       -3.03      10.35
  21.485        9.46      10.75
  21.795        8.55      10.87
  22.105       42.42      11.57
  22.414       11.75      11.74
  22.724       19.62      11.85
  23.034        5.21      12.03
  23.344       -7.59      12.22
  23.653       25.71      12.82
  23.963       23.52      12.80
  24.273        6.08      14.16
  24.582       13.56      14.16
  24.892       12.59      14.48
  25.202       32.90      15.61
  25.511       21.57      14.84
  25.821       16.27      15.41
  26.131      -13.34      14.00
  26.441       11.16      18.25
  26.750       42.82      18.28
  27.060       27.47      18.26
  27.370       -6.13      14.97
  27.679       10.00      19.72
  27.989        1.46      17.72
  28.299       34.82      21.32
  28.608       36.53      19.03
  28.918       53.47      33.17
  29.228       84.83      40.91
  29.538       20.85      21.55
