EN         DATA       DATA-ERR
MEV        MB         MB
     8.3       23.         5.
     8.5       36.         5.
     8.7       49.         7.
     8.9       59.         6.
     9.1       67.         6.
     9.3       75.         5.
     9.5       78.         6.
     9.7       90.         6.
     9.9       91.         6.
    10.1       99.         6.
    10.3      107.         6.
    10.5      113.         7.
    10.7      123.         8.
    10.9      153.         8.
    11.1      182.         8.
    11.3      181.        11.
    11.5      239.        12.
    11.7      269.        12.
    11.9      292.        14.
    12.1      318.        12.
    12.3      395.        12.
    12.5      415.        16.
    12.7      465.        14.
    12.9      476.        15.
    13.1      483.        14.
    13.3      497.        17.
    13.5      484.        16.
    13.7      455.        16.
    13.9      453.        19.
    14.1      485.        20.
    14.3      417.        24.
    14.5      429.        20.
    14.7      429.        27.
    14.9      454.        25.
    15.1      389.	  0
    15.3      407.	  0
    15.5      354.	  0
    15.7      326.  	  0
    15.9      332.	  0
    16.1      267.	  0
    16.3      244.	  0
    16.5      280.	  0
    16.7      261.	  0
    16.9      210.	  0
    17.1      281.	  0
    17.3      236.	  0
    17.5      155.	  0
    17.7      166.	  0
    17.8      156.	  0
    18.1       81.	  0
    18.3      110.	  0
    18.5      163.	  0
    18.7      151.	  0
    18.8      130.	  0
    19.1      142.	  0
    19.2      132.	  0
    19.5       75.	  0
    19.7       93.	  0
    19.9      118.	  0
    20.1      108.	  0
    20.4      110.	  0
