EN         DATA       ERR-S
MEV        MB         MB
    8.02      24.6        1.4
    8.22      32.7        1.1
    8.42      45.5        1.0
    8.62      55.2        1.6
    8.82      69.5        2.3
    9.02      62.9        3.2
    9.22      65.         3.
    9.42      68.6        3.2
    9.62      72.8        4.
    9.82      72.4        4.5
   10.02      95.2        5.8
   10.22     116.         5.6
   10.42     129.         6.
   10.62     145.         7.
   10.82     167.         6.9
   11.02     176.         9.2
   11.22     188.         8.4
   11.42     217.         8.8
   11.62     250.         9.7
   11.82     274.        11.
   12.02     316.        13.
   12.22     383.        12.
   12.42     438.        14.
   12.62     455.        14.
   12.82     484.        17.
   13.02     543.        17.
   13.22     507.        18.
   13.42     467.        19.
   13.62     505.        21.
   13.82     492.        23.
   14.02     398.        20.
   14.22     458.        21.
   14.42     476.        21.
   14.62     380.        18.
   14.82     392.        17.
   15.02     404.        18.
   15.22     346.        20.
   15.42     310.        19.
   15.62     350.        19.
   15.82     310.        15.
   16.02     292.        18.
   16.22     272.        23.
   16.42     296.        20.
   16.62     230.        19.
   16.82     220.        18.
   17.02     190.        21.
   17.22     184.        23.
   17.42     150.        27.
   17.62     168.        22.
   17.82     148.        24.
   18.02     170.        22.
   18.22     160.        24.
   18.42     132.        26.
   18.62     120.        25.
   18.82     146.        28.
   19.02      80.        25.
   19.22     116.        26.
   19.42     106.        27.
   19.62     104.        26.
   19.82     106.        29.
   20.02     146.        28.
   20.22      74.        33.
