EN         DATA       DATA-ERR
MEV        MB         MB
  12.583        5.69       8.00
  12.855       22.76       8.00
  13.128       42.11       8.00
  13.400       70.56       8.00
  13.672       84.21       8.00
  13.945      119.49       8.00
  14.217      136.56       8.00
  14.490      133.15       8.00
  14.762      150.22       8.00
  15.034      179.80       8.00
  15.307      153.63       8.00
  15.579      185.49       8.00
  15.852      174.11       8.00
  16.124      174.11       8.00
  16.396      160.46       8.00
  16.669      169.56       8.00
  16.941      146.80       8.00
  17.214      147.94       8.00
  17.486      108.11       8.00
  17.758      116.08       8.00
  18.031       86.49       8.00
  18.303       78.52       8.00
  18.576       91.04       8.00
  18.848       64.87       8.00
  19.120       77.38       8.00
  19.393       55.76       8.00
  19.665       60.31       8.00
  19.938       53.49       8.00
  20.210       46.66       8.00
