EN         DATA       DATA-ERR
MEV        MB         MB
   9.586       45.52       7.00
   9.859       50.07       7.10
  10.131       92.18       7.21
  10.267       77.38       7.26
  10.404       77.38       7.31
  10.540       95.59       7.36
  10.676      113.80       7.41
  10.812      129.73       7.46
  10.948      136.56       7.51
  11.085      133.15       7.56
  11.221      158.18       7.62
  11.357      179.80       7.67
  11.493      184.36       7.72
  11.629      180.94       7.77
  11.766      202.56       7.82
  11.902      210.53       7.87
  12.038      233.29       7.92
  12.310      236.70       8.03
  12.583      224.19       8.13
  12.855      213.94       8.23
  13.128      194.60       8.33
  13.400      157.04       8.44
  13.672      134.28       8.54
  13.945       83.07       8.64
  14.217       85.35       8.74
  14.490      113.80       8.85
  14.762      100.14       8.95
  15.034       47.80       9.05
  15.307      110.39       9.15
  15.579       85.35       9.26
  15.852       80.80       9.36
  16.124       72.83       9.46
  16.396       83.07       9.56
