EN         DATA       DATA-ERR
MEV        MB         MB
  16.669       56.90       9.67
  16.941       86.49       9.77
  17.214       80.80       9.87
  17.486       94.45       9.97
  17.758       67.14      10.08
  18.031       72.83      10.18
  18.303       78.52      10.28
  18.576       25.04      10.38
  18.848       50.07      10.49
  19.120       45.52      10.59
  19.393       71.69      10.69
  19.665       29.59      10.80
  19.938       50.07      10.90
  20.210       68.28      11.00
