EN         DATA       DATA-ERR   ERR-SYS
MEV        MB         MB         MB
    7.44       3.27       1.46        .21
    7.53      11.7         .8         .7
    7.58      11.7         .7         .7
    7.78      19.3         .8        1.3
    7.85      17.3         .9        1.
    7.93      22.          .8        1.3
    8.35      25.3         .8        1.5
    8.64      39.8         .9        2.3
    8.67      36.4        1.         2.1
    8.94      42.         1.1        2.4
    9.37      48.7         .9        2.8
   10.        69.         1.5        4.
   10.37      90.         1.4        5.2
   10.91     127.         2.         7.
