EN         DATA       DATA-ERR
MEV        MB         MB
  13.210       -1.20       1.00
  13.480       -0.40       1.14
  13.750        1.00       1.28
  14.020        6.50       1.41
  14.290       19.10       1.55
  14.560       41.30       1.69
  14.830       69.00       1.83
  15.100       96.00       1.97
  15.370      116.30       2.10
  15.640      149.60       2.24
  15.920      156.00       2.38
  16.190      173.50       2.52
  16.460      173.10       2.66
  16.730      178.90       2.79
  17.000      173.70       2.93
  17.270      160.50       3.07
  17.540      158.60       3.21
  17.810      141.50       3.35
  18.080      139.30       3.48
  18.350      127.60       3.62
  18.630      119.60       3.76
  18.900      111.10       3.90
  19.170       98.70       4.03
  19.440       82.90       4.17
  19.710       78.00       4.31
  19.980       69.00       4.45
  20.250       62.30       4.59
  20.520       77.00       4.72
  20.790       74.90       4.86
  21.060       69.40       5.00
