EN         DATA       DATA-ERR
MEV        MB         MB
   8.060       22.40       4.00
   8.330       25.80       4.02
   8.600       35.60       4.04
   8.870       34.10       4.06
   9.140       35.50       4.08
   9.410       50.60       4.10
   9.680       58.40       4.13
   9.950       65.50       4.15
  10.220       81.40       4.17
  10.500       95.20       4.19
  10.770      123.00       4.21
  11.040      141.20       4.23
  11.310      168.70       4.25
  11.580      194.40       4.27
  11.850      224.70       4.29
  12.120      242.10       4.31
  12.390      252.10       4.33
  12.660      246.80       4.35
  12.930      237.30       4.38
  13.210      229.90       4.40
  13.480      232.20       4.42
  13.750      223.20       4.44
  14.020      215.20       4.46
  14.290      208.20       4.48
  14.560      182.70       4.50
  14.830      164.60       4.52
  15.100      144.30       4.54
  15.370      126.60       4.56
  15.640       98.40       4.58
  15.920       92.80       4.60
  16.190       73.30       4.63
  16.460       65.80       4.65
