EN         DATA       DATA-ERR
MEV        MB         MB
  16.730       40.70       4.67
  17.000       32.00       4.69
  17.270       32.60       4.71
  17.540       22.40       4.73
  17.810       36.30       4.75
  18.080       17.00       4.77
  18.350       16.80       4.79
  18.630       22.90       4.81
  18.900       15.20       4.83
  19.170       20.20       4.85
  19.440       21.10       4.88
  19.710       18.60       4.90
  19.980       12.40       4.92
  20.250       21.30       4.94
  20.520       -0.80       4.96
  20.790        0.20       4.98
  21.060       -4.60       5.00
