EN         DATA       DATA-ERR
MEV        MB         MB
10.81      4.93       2.24
11.28      5.16       2.02
11.78      7.29       2.13
12.27      14.69      2.58
12.50      12.11      1.57
13.01      9.20       2.92
13.57      12.67      3.03
14.06      24.00      4.26
14.56      20.86      3.81
15.10      28.04      4.04
15.63      41.05      4.49
16.12      45.31      4.93
16.62      41.27      7.40
17.12      64.39      6.82
17.32      65.22      5.32
17.82      71.38      6.16
18.34      81.11      6.74
18.82      87.19      7.15
19.03      82.03      5.82
19.52      69.30      6.41
20.00      56.24      7.15
20.52      49.00      7.90
20.71      45.26      6.49
21.22      39.60      6.99
21.44      42.43      5.99
21.92      27.20      6.74
22.09      20.88      5.57
22.61      30.03      6.07
22.84      24.21      5.57
23.35      19.63      5.82
23.52      12.65      5.66
24.04      12.23      5.57
24.51      6.24       5.41
25.05      8.74       6.07
