EN         DATA       ERR-T
MEV        MB         MB
9.3        0.4	      0	
9.6        0.3        0
9.8        0.4        0 
10.1       10.8       0.4
10.3       3.0        0 
10.6       3.1        0
10.9       1.5        0
11.1       2.3        0
11.4       4.2        0
11.6       4.7        0
11.9       5.3        0
12.1       6.9        0
12.4       10.2       0.4
12.7       10.1       0.5
12.9       8.5        0.4
13.2       8.2        0
13.4       9.1        0.4
13.7       10.1       0.5
14.0       8.5        0.5
14.2       11.6       0.6
14.5       18.7       1.0
14.7       17.5       0.9
15.0       19.4       1.0
15.3       21.6       1.2
