EN         DATA
MEV        MB
13.        .25
13.5       .284
14.        .455
14.5       .57
15.        .9
15.5       1.26
16.        2.557
16.5       4.32
17.        9.09
17.5       12.045
18.        14.92
18.5       17.4
19.        19.864
19.5       21.455
20.        23.58
20.5       25.136
21.        26.82
21.5       27.84
22.        28.47
22.5       28.74
23.        28.545
23.5       27.95
24.        26.454
24.5       24.
25.        20.45
25.5       16.25
26.        11.818
26.5       7.84
27.        5.227
27.5       3.636
28.        2.443
28.5       1.59
29.        .682
29.5       .41
29.6       .19
