EN         DATA
MEV        MB
15.5254    0.0010
15.6137    0.0013
15.7307    0.0016
15.8338    0.0021
15.9367    0.0028
16.0398    0.0037
16.1568    0.0047
16.2449    0.0058
16.3623    0.0078
16.4507    0.0100
16.5680    0.0131
16.6707    0.0168
16.7883    0.0226
16.9057    0.0301
17.0373    0.0393
17.1690    0.0523
17.3150    0.0690
17.4754    0.0918
17.6212    0.1187
17.7672    0.1565
17.9274    0.2022
18.0872    0.2537
18.2901    0.3215
18.5071    0.3992
18.6951    0.4767
18.9115    0.5524
19.1277    0.6338
19.4012    0.7199
19.6600    0.7939
19.9473    0.8581
20.2776    0.9274
20.5930    0.9445
20.8938    0.9339
21.2231    0.9142
21.5379    0.8774
21.8382    0.8339
22.1817    0.8002
22.4818    0.7456
22.8109    0.7085
23.1542    0.6732
23.4689    0.6398
23.8122    0.6079
24.1555    0.5719
24.4701    0.5381
24.7989    0.5014
25.1278    0.4717
