EN         DATA       DATA-ERR
MEV        MB         MB
13.        .52	      0
13.2       1.84       0
13.4       4.26       .05
13.6       8.13       .10
13.8       10.95      .20
14.        11.8       .2
14.2       12.46      .30
14.4       12.85      .30
14.6       14.69      .33
14.8       15.74      .33
15.        17.05      .36
15.2       17.84      .59
15.4       19.80      .66
15.6       21.64      .72
15.8       24.13      .79
16.        21.84      .98
16.2       20.00      1.11
16.4       17.70      1.12
16.6       20.00      .66
16.8       20.13      .66
17.        17.84      .60
17.2       18.03      .85
17.4       19.67      .98
17.6       19.54      .89
17.8       20.98      .98
18.        23.87      .98
18.2       23.61      1.31
18.4       23.27      1.31
18.6       20.33      1.28
18.8       18.36      1.44
19.        18.82      1.64
19.2       19.67      .98
19.4       18.69      .89
19.6       17.05      .79
19.8       17.24      .72
20.        18.36      .85
20.2       18.95      1.05
20.4       16.20      .98
20.6       16.52      1.05
20.8       15.74      1.18
21.        15.74      1.05
21.2       14.89      1.11
21.4       14.69      .72
21.6       16.07      .98
21.8       13.77      .92
22.        12.13      .82
22.2       13.97      .98
22.4       13.11      .98
22.6       13.44      1.31
22.8       13.51      .72
23.        11.80      .72
23.2       11.48      .72
23.4       10.16      .98
23.6       10.82      .79
23.8       9.31       .98
24.        9.84       .98
24.2       9.18       .98
24.4       5.64       .98
24.6       6.89       .09
