EN         DATA       ERR-S
MEV        MB         MB
21.572     1.         2.00
21.708     1.         2.00
21.844     4.         2.00
21.981     4.         2.00
22.117     2.         2.00
22.253     7.         2.00
22.389     2.         2.00
22.525     11.        2.00
22.662     3.         2.00
22.798     10.        2.00
22.934     5.         2.00
23.070     13.        2.00
23.206     9.         2.00
23.343     12.        2.00
23.479     12.        2.00
23.615     15.        2.00
23.751     18.        2.00
23.887     15.        2.00
24.024     12.        2.00
24.160     10.        2.00
24.296     17.        2.00
24.432     18.        2.00
24.568     19.        2.00
24.705     17.        2.00
24.841     15.        2.00
24.977     17.        2.00
25.113     13.        2.00
25.249     19.        2.00
25.386     11.        2.00
25.522     14.        2.00
25.658     11.        2.00
25.794     15.        2.00
25.930     19.        2.00
