EN         DATA       DATA-ERR
MEV        MB         MB
14.        37.526       .825
14.5       41.649      1.237
15.        62.68       1.444
15.5       98.144      5.361
16.       134.103      4.536
16.5      139.381      3.093
17.       134.021      6.186
17.5      140.206      4.536
18.       119.585     10.309
18.5       82.474      4.948
19.        84.742     16.495
19.5       76.619      8.66
20.        63.96      17.32
20.5       63.711     12.784
21.        33.732     14.3
21.5       61.61      14.639
22.        76.206     22.68
22.4       17.072     14.433
22.8       18.144     15.258
23.8       25.        13.61
24.8        9.56      10.
25.8       23.711      9.9
26.8        4.165     14.433
27.8        0.0       13.4
28.8       22.887     13.
29.8       -4.577     14.43
  30.8       39.38      16.206
