EN         DATA       DATA-ERR
MEV        MB         MB
13.        14.        2.954
13.4       12.28      2.477
13.8       10.246     .925
14.2       13.985     2.154
14.6       16.923     1.544
15.        25.68      3.846
15.5       23.538     2.326
16.        24.23      2.
16.5       36.21      2.769
17.        24.385     4.536
17.4       16.923     4.154
17.8       10.769     3.569
18.2       16.924     2.
18.6       15.385     1.925
19.        20.769     3.
19.4       18.462     3.846
19.8       31.615     3.75
20.2       29.046     4.615
20.6       33.723     3.462
21.        28.        2.3
21.5       28.461     2.3
22.        14.62      2.28
22.5       6.52       3.83
23.        4.         4.
