EN         DATA       ERR-S
MEV        MB         MB
8.29       10.18      0.78
8.33       11.27      0.65
8.38       9.98       0.49
8.47       11.72      0.51
8.52       12.46      0.60
8.58       12.30      0.32
8.75       11.99      0.27
8.95       12.93      0.28
9.15       13.56      0.29
9.43       14.58      0.30
9.57       16.20      0.39
9.90       16.71      0.55
10.29      17.40      0.69
10.77      23.34      0.75
11.17      27.69      0.89
11.50      31.19      0.94
11.88      35.55      1.16
12.76      59.08      1.60
