EN         DATA
MEV        MB
16.5284    0.0010
16.6157    0.0011
16.7608    0.0014
16.9060    0.0017
17.0513    0.0021
17.2111    0.0026
17.3710    0.0033
17.5310    0.0042
17.6909    0.0053
17.8796    0.0068
18.0687    0.0090
18.2575    0.0117
18.4172    0.0145
18.5915    0.0186
18.8377    0.0242
19.0690    0.0298
19.2714    0.0359
19.5168    0.0433
19.7476    0.0507
19.9782    0.0581
20.2230    0.0660
20.4674    0.0721
20.6832    0.0787
20.9275    0.0851
21.2290    0.0911
21.5014    0.0928
21.7878    0.0918
22.0454    0.0890
22.3027    0.0837
22.5744    0.0796
22.9464    0.0756
23.2470    0.0733
23.5475    0.0711
23.8769    0.0696
24.1776    0.0688
24.4354    0.0680
24.7218    0.0673
24.9940    0.0672
